,font,ID,en,ru,ko,cn,es,de,ja,
Language,36,language_title,Language,Язык,언어,语言,Idioma,Sprache,言語,
,24,language_little_title,Language,Язык,언어,语言,Idioma,Sprache,言語,
,20,language_desc,Select your language,Выберите язык,언어 선택,选择你的语言,Selecciona tu idioma,Wählen Sie Ihre Sprache,言語を選択してください.,
,24,language_option,English,Русский язык,한국어,简体中文,Español,Deutsch,日本語,
Verify Your Device,36,verify_title,Verify Your Device,Проверка устройства,장치 확인,设备验证,Verifica tu dispositivo,Überprüfen Sie Ihr Gerät,デバイスを確認してください.,
,24,verify_title_text,Verify Your Device,Проверка устройства,장치 확인,设备验证,Verifica tu dispositivo,Überprüfen Sie Ihr Gerät,デバイスを確認してください.,
,20,verify_desc,This process ensures the integrity of your Keystone device and firmware.,Этот процесс подтвердит подлинность устройства Keystone и его прошивки.,장치 확인 기능을 통해 장치가 변조되었는지 확인할 수 있으며 펌웨어의 무결성을 확인하는 데 사용할 수도 있습니다.,"通过设备验证功能,可以校验您的设备是否被篡改过;也可以用来校验固件的完整性.",Este proceso asegura la integridad de tu dispositivo Keystone y el firmware,Dieser Prozess gewährleistet die Integrität Ihres Keystone-Geräts und der Firmware.,このプロセスは、Keystoneデバイスとファームウェアの信頼性を保証します.,
,20,verify_cont1,Visit our website and click #F5870A Start Verification# button.,Посетите наш веб-сайт и нажмите на кнопку #F5870A Начать проверку#.,저희 웹사이트에 방문하셔서 #F5870A 장치확인 #버튼을 클릭해주세요.,"访问我们的网站,然后单击#F5870A 设备验证#按钮.",Visita nuestro sitio web y haz clic en el botón #F5870A Iniciar verificación,Besuchen Sie unsere Website und klicken Sie auf die Schaltfläche #F5870A Start Verification#,ウェブサイトを訪れて、#F5870A 認証を開始#ボタンをクリックしてください,
,20,verify_cont2,Scan the QR code displayed on the website to get your device verification code.,"Отсканируйте QR-код, отображаемый на веб-сайте, чтобы получить код подтверждения устройства.","""장치 확인"" 페이지에 표시된 QR 코드를 스캔하면 장치 인증 코드를 받을 수 있습니다.","使用设备扫描""设备验证""页面上显示的二维码后,会在设备上显示验证码.",Escanea el código QR que se muestra en el sitio web para obtener tu código de verificación del dispositivo,"Scannen Sie den auf der Website angezeigten QR-Code, um Ihren Geräteverifizierungscode zu erhalten.",ウェブサイトに表示されているQRコードをスキャンして、デバイスの認証コードを取得してください.,
,20,verify_cont3,Enter the code on the website to check for any potential tampering with your device.,"Введите код на веб-сайте, чтобы завершить проверку устройства на подлинность.","""장치 확인"" 페이지에 인증 코드를 입력하여 장치의 변조 여부를 확인합니다. ","在""设备验证""页面上输入验证码,检查您的设备是否被篡改.",Ingresa el código en el sitio web para verificar cualquier posible manipulación de tu dispositivo,"Geben Sie den Code auf der Website ein, um mögliche Manipulationen an Ihrem Gerät zu überprüfen.",ウェブサイト上でコードを入力して、デバイスに何らかの改ざんが行われたかどうかを確認してください.,
